"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Avg. Travel Time to Work (in Minutes)","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","avtt","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","85003","AZ","85003","=""85003""","21","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85004","AZ","85004","=""85004""","22","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85006","AZ","85006","=""85006""","22","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85007","AZ","85007","=""85007""","23","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85008","AZ","85008","=""85008""","23","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85009","AZ","85009","=""85009""","26","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85012","AZ","85012","=""85012""","22","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85013","AZ","85013","=""85013""","23","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85014","AZ","85014","=""85014""","23","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85015","AZ","85015","=""85015""","26","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85016","AZ","85016","=""85016""","22","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85017","AZ","85017","=""85017""","26","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85018","AZ","85018","=""85018""","22","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85019","AZ","85019","=""85019""","28","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85020","AZ","85020","=""85020""","21","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85021","AZ","85021","=""85021""","28","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85022","AZ","85022","=""85022""","25","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85023","AZ","85023","=""85023""","28","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85024","AZ","85024","=""85024""","23","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85026","AZ","85026","=""85026""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85027","AZ","85027","=""85027""","26","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85028","AZ","85028","=""85028""","25","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85029","AZ","85029","=""85029""","27","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85031","AZ","85031","=""85031""","30","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85032","AZ","85032","=""85032""","24","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85033","AZ","85033","=""85033""","29","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85034","AZ","85034","=""85034""","23","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85035","AZ","85035","=""85035""","27","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85037","AZ","85037","=""85037""","26","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85040","AZ","85040","=""85040""","27","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85041","AZ","85041","=""85041""","26","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85042","AZ","85042","=""85042""","25","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85043","AZ","85043","=""85043""","29","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85044","AZ","85044","=""85044""","24","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85045","AZ","85045","=""85045""","29","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85048","AZ","85048","=""85048""","23","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85050","AZ","85050","=""85050""","23","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85051","AZ","85051","=""85051""","27","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85053","AZ","85053","=""85053""","30","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85054","AZ","85054","=""85054""","20","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85083","AZ","85083","=""85083""","31","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85085","AZ","85085","=""85085""","26","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85086","AZ","85086","=""85086""","29","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85087","AZ","85087","=""85087""","30","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85118","AZ","85118","=""85118""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85119","AZ","85119","=""85119""","29","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85120","AZ","85120","=""85120""","28","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85121","AZ","85121","=""85121""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85122","AZ","85122","=""85122""","24","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85123","AZ","85123","=""85123""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85128","AZ","85128","=""85128""","25","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85131","AZ","85131","=""85131""","29","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85132","AZ","85132","=""85132""","34","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85135","AZ","85135","=""85135""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85137","AZ","85137","=""85137""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85138","AZ","85138","=""85138""","37","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85139","AZ","85139","=""85139""","33","2020-2024","2020","Census","Arizona (State)"
