"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent Housing Units with 0 Vehicles Available","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","phunomv","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","85003","AZ","85003","=""85003""","19.53","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85004","AZ","85004","=""85004""","13.58","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85006","AZ","85006","=""85006""","12.62","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85007","AZ","85007","=""85007""","14.30","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85008","AZ","85008","=""85008""","7.29","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85009","AZ","85009","=""85009""","9.72","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85012","AZ","85012","=""85012""","8.51","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85013","AZ","85013","=""85013""","12.25","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85014","AZ","85014","=""85014""","8.16","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85015","AZ","85015","=""85015""","15.56","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85016","AZ","85016","=""85016""","6.15","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85017","AZ","85017","=""85017""","14.04","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85018","AZ","85018","=""85018""","9.30","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85019","AZ","85019","=""85019""","9.44","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85020","AZ","85020","=""85020""","9.68","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85021","AZ","85021","=""85021""","12.61","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85022","AZ","85022","=""85022""","4.19","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85023","AZ","85023","=""85023""","7.51","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85024","AZ","85024","=""85024""","2.46","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85026","AZ","85026","=""85026""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85027","AZ","85027","=""85027""","5.73","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85028","AZ","85028","=""85028""","2.38","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85029","AZ","85029","=""85029""","7.87","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85031","AZ","85031","=""85031""","4.14","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85032","AZ","85032","=""85032""","5.39","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85033","AZ","85033","=""85033""","7.65","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85034","AZ","85034","=""85034""","15.54","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85035","AZ","85035","=""85035""","6.13","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85037","AZ","85037","=""85037""","4.24","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85040","AZ","85040","=""85040""","11.48","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85041","AZ","85041","=""85041""","5.39","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85042","AZ","85042","=""85042""","5.51","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85043","AZ","85043","=""85043""","3.72","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85044","AZ","85044","=""85044""","3.27","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85045","AZ","85045","=""85045""","1.18","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85048","AZ","85048","=""85048""","1.55","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85050","AZ","85050","=""85050""","2.21","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85051","AZ","85051","=""85051""","9.48","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85053","AZ","85053","=""85053""","5.73","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85054","AZ","85054","=""85054""","3.66","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85083","AZ","85083","=""85083""","1.09","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85085","AZ","85085","=""85085""","2.12","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85086","AZ","85086","=""85086""","2.30","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85087","AZ","85087","=""85087""","1.44","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85118","AZ","85118","=""85118""","2.06","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85119","AZ","85119","=""85119""","3.68","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85120","AZ","85120","=""85120""","7.05","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85121","AZ","85121","=""85121""","19.80","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85122","AZ","85122","=""85122""","4.58","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85123","AZ","85123","=""85123""","2.37","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85128","AZ","85128","=""85128""","10.10","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85131","AZ","85131","=""85131""","10.19","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85132","AZ","85132","=""85132""","3.44","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85135","AZ","85135","=""85135""","20.83","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85137","AZ","85137","=""85137""","7.57","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85138","AZ","85138","=""85138""","2.90","2020-2024","2020","Census","Arizona (State)"
